objectid,shape_id,route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,routeshapename,route_color_rgb,route_text_color_rgb,shape_Length
743,S2_928_0_58,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,S2_928_0_58_928,"(0, 0, 153)","(255, 255, 255)",55244.709971574819065
744,S2_928_0_59,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,S2_928_0_59_928,"(0, 0, 153)","(255, 255, 255)",51032.873806289106142
745,S2_928_0_60,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,S2_928_0_60_928,"(0, 0, 153)","(255, 255, 255)",35759.034839975698560
746,S2_928_1_57,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,S2_928_1_57_928,"(0, 0, 153)","(255, 255, 255)",49652.676316744807991
747,S2_928_1_61,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,S2_928_1_61_928,"(0, 0, 153)","(255, 255, 255)",35527.561950230301591
748,S2_929_0_157,929,929,Downtown - Iris Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=929,000099,FFFFFF,Bus,S2_929_0_157_929,"(0, 0, 153)","(255, 255, 255)",83355.274639711657073
749,S2_929_1_156,929,929,Downtown - Iris Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=929,000099,FFFFFF,Bus,S2_929_1_156_929,"(0, 0, 153)","(255, 255, 255)",79326.908216464828001
750,S2_932_0_74,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,S2_932_0_74_932,"(0, 0, 153)","(255, 255, 255)",55182.391285588295432
751,S2_932_0_75,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,S2_932_0_75_932,"(0, 0, 153)","(255, 255, 255)",37010.391346389420505
752,S2_932_1_77,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,S2_932_1_77_932,"(0, 0, 153)","(255, 255, 255)",56365.241850442333089
753,S2_932_1_78,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,S2_932_1_78_932,"(0, 0, 153)","(255, 255, 255)",37108.939565489970846
754,S2_933_9_66,933,933,Iris TC Loop - Imperial Beach Counterclock,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=933,000099,FFFFFF,Bus,S2_933_9_66_933,"(0, 0, 153)","(255, 255, 255)",80842.248078559350688
755,S2_934_8_61,934,934,Iris TC Loop - Imperial Beach Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=934,000099,FFFFFF,Bus,S2_934_8_61_934,"(0, 0, 153)","(255, 255, 255)",48433.615767026560206
