Year,Zip Code,Population,Veteran Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,Not Hispanic or Latino Origin,Hispanic or Latino Origin,Renter Population,Population in Poverty,Population with Disability,Senior Population (60y+),Households Receiving SNAP,Median Income,Youth Population,Population_Below_50_FPL,Population_Below_100_FPL,Population_Below_150_FPL,Population_Below_200_FPL,LIHEAP Request,Male Population,Female Population,Gini Coefficient,Percentage High School or Less,Percentage Some College or Less,Median Home Value,Median Gross Rent,Percentage of Renter Occupied,Rental Vacancy Rate,Total Housing Units,Percentage Overcrowded,Percentage One Person HH,Percetange Pre 1940,Median Electric Cost,Median Gas Cost,Median Water/Sewage Cost,Civilian Labor Force,Employed,Unemployed,Labor Force Participation Rate,Unemployment Rate
2023,92121,4157,82,2120,83,55,1074,7,89,729,3560,597,2110,770,253,,109,135795,534,400,697,770,889,,2266,1891,0.4196,0.081821416,0.117395945,1091600,2537,0.511232544,0.071589628,1774,0.029751063,0.203400121,0.009019166,1647,1647,1647,2608,2483,125,0.716234652,0.047929448
2023,92122,45437,1685,24997,501,226,12754,144,1457,5358,39337,6100,29300,10706,3140,8287,779,98825,5845,6460,9372,10706,12472,3239,22661,22776,0.4692,0.10904896,0.133104876,1005000,2601,0.664213945,0.076959108,21349,0.058307115,0.316502588,0.00543351,19706,19706,19706,26541,25107,1434,0.661695486,0.054029615
2023,92123,32999,1622,16272,2227,298,7266,690,1486,4760,25793,7206,18100,4306,4001,,947,121856,5710,1333,2620,4306,5772,868.81,17926,15073,0.3767,0.191200931,0.280730206,799600,2798,0.56122614,0.056759231,13108,0.029197671,0.237544484,0.012740311,12364,12364,12364,19800,18100,1700,0.755419957,0.085858586
2023,92124,31032,2739,20293,2044,120,3370,50,1334,3821,24749,6283,18193,4668,2499,,375,108219,8458,767,1696,4668,6794,655.22,15005,16027,0.3792,0.136383591,0.197551339,868900,3080,0.54875817,0.044068644,12004,0.015686275,0.202527233,0.020993002,11475,11475,11475,13097,12476,621,0.668570934,0.047415439
2023,92126,77239,4540,22381,2558,122,38016,276,5232,8654,64510,12729,36002,10227,8008,15968,1557,123232,14786,2992,6010,10227,14606,1583.99,39959,37280,0.3983,0.22406015,0.302040816,802000,2630,0.472849782,0.03503404,26146,0.089377725,0.164011098,0.010403121,25230,25230,25230,43773,41683,2090,0.701917499,0.047746328
2023,92127,50711,2370,25539,1031,340,16372,11,911,6507,46661,4050,12444,2433,3116,8247,562,179220,14449,620,1700,2433,4178,1161,24720,25991,0.4435,0.08536845,0.126273532,1165100,2642,0.276301011,0.036956914,16641,0.050979658,0.117371771,0.003004627,16026,16026,16026,25921,24659,1262,0.694445185,0.048686393
2023,92128,48492,2933,27358,1217,58,13180,143,1252,5284,43369,5123,15512,4137,5276,14491,414,128150,8887,1360,2620,4137,5594,3499,23837,24655,0.4038,0.103317459,0.156536713,875400,2760,0.345168916,0.047024592,21308,0.02851374,0.274549394,0.002815844,20306,20306,20306,24663,23346,1317,0.617139334,0.05339983
2023,92129,53080,2666,26241,841,100,18336,112,1877,5573,46507,6573,14421,4589,4156,11046,1078,152626,12220,1104,2673,4589,6487,3929,26262,26818,0.4062,0.123093828,0.177176855,1018100,2671,0.274898236,0.029905755,18993,0.039837178,0.143663501,0.001842784,18425,18425,18425,28104,26729,1375,0.671217024,0.04892542
2023,92130,59768,1219,31542,199,271,20009,82,1603,6062,54334,5434,21294,3944,2851,9612,692,201731,16588,1497,2784,3944,5926,1864,29606,30162,0.4553,0.065884002,0.083881949,1602800,3289,0.380209784,0.066868774,23090,0.024180822,0.166063306,0.001342573,21546,21546,21546,31599,30395,1204,0.700172429,0.038102472
2023,92131,35831,2037,18985,508,19,10842,23,1105,4349,31915,3916,6486,1766,2675,8464,261,181281,9438,759,1042,1766,2426,2181,18002,17829,0.3908,0.099097647,0.137729617,1107900,3143,0.188689505,0.035874775,13352,0.029363785,0.160646314,0.001647693,12873,12873,12873,18279,17714,565,0.664023432,0.030909787
